what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374932695478
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374932698459
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932699948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932701342
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374932701892
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1374932709111
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932714444
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932717776
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932736621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932744789
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374932854853
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374932858846
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932861332
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932862823
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374932873930
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374932941094
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374932944248
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374932949897
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374932959482
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374932960438
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932962140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932963617
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374932968999
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374932971728
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374932977175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932980342
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932981666
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374932983425
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374932985175
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374932989806
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932992672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374932994012
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374932996658
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374933008536
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374933011676
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374933014797
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374933027462
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374933033122
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374933033239
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374933034915
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374933053565
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374933065843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374933070009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374933081271
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374933088789
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374933090475
